date,HuBei,GuangDong,HeNan,ZheJiang,HuNan,AnHui,JiangXi,JiangSu,ChongQing,ShanDong,SicHuan,HeiLongJiang,BeiJing,ShangHai,FuJian,HeBei,ShanXi,GuangXi,HaiNan,YunNan,GuiZhou,ShanXi,LiaoNing,TianJing,GanSu,JiLing,Inner Mongolia,XinJiang,NingXia,XiangGang,TaiWan,QingHai,Macao,Tibet
2020-02-12,33366,1219,1135,1131,946,889,844,543,509,497,436,378,352,311,272,251,225,222,157,154,133,124,116,110,86,83,60,59,58,50,18,18,10,1
2020-02-14,51986,1261,1184,1155,988,934,900,593,529,519,463,418,366,318,281,283,230,226,158,156,140,126,117,119,90,86,65,65,67,53,18,18,10,1
2020-02-16,56249,1316,1231,1167,1004,962,925,617,547,537,481,445,380,328,287,300,236,237,162,171,144,128,120,124,90,89,70,71,70,57,20,18,10,1
2020-02-17,58182,1322,1246,1171,1006,973,930,626,552,541,495,457,381,332,290,301,240,238,163,171,146,129,121,125,90,89,72,75,70,58,20,18,10,1
2020-02-18,59989,1328,1257,1172,1007,982,933,629,553,543,508,464,387,333,292,302,240,242,163,172,146,130,121,127,91,89,73,76,70,60,22,18,10,1
2020-02-19,61682,1331,1262,1173,1008,986,934,631,555,544,514,470,393,333,293,306,242,244,163,173,146,131,121,128,91,90,75,76,71,62,22,18,10,1
2020-02-20,62031,1332,1265,1175,1010,987,934,631,560,546,520,476,395,333,293,307,245,245,168,172,146,131,121,130,91,91,75,76,71,65,24,18,10,1
2020-02-21,62662,1333,1267,1203,1011,988,934,631,567,748,525,479,396,334,293,308,245,246,168,174,146,132,121,131,91,91,75,76,71,68,24,18,10,1
2020-02-24,64084,1345,1271,1205,1016,989,934,631,575,755,527,480,399,335,293,311,245,251,168,174,146,132,121,135,91,93,75,76,71,74,28,18,10,1
2020-02-25,64786,1347,1271,1205,1016,989,934,631,576,755,529,480,400,335,294,311,245,252,168,174,146,133,121,135,91,93,75,76,71,81,30,18,10,1
2020-02-27,65596,1347,1272,1205,1017,989,934,631,576,756,534,480,410,337,296,317,245,252,168,174,146,133,121,136,91,93,75,76,72,92,32,18,10,1
2020-03-01,66907,1349,1272,1205,1018,990,935,631,576,758,538,480,413,337,296,318,245,252,168,174,146,133,122,136,91,93,75,76,73,95,39,18,10,1
2020-03-02,67103,1350,1272,1206,1018,990,935,631,576,758,538,480,414,337,296,318,245,252,168,174,146,133,122,136,91,93,75,76,74,98,41,18,10,1
2020-03-04,67332,1350,1272,1213,1018,990,935,631,576,758,538,480,414,338,296,318,245,252,168,174,146,133,125,136,91,93,75,76,75,100,42,18,10,1
2020-03-13,67786,1356,1273,1215,1018,990,935,631,576,760,539,482,436,346,296,318,245,252,168,174,146,133,125,136,127,93,75,76,75,134,50,18,10,1
2020-03-14,67790,1356,1273,1227,1018,990,935,631,576,760,539,482,437,350,296,318,245,252,168,174,146,133,125,136,129,93,75,76,75,137,50,18,10,1
2020-03-17,67799,1364,1273,1232,1018,990,935,631,576,761,539,482,455,358,296,318,246,253,168,176,146,133,125,136,133,93,75,76,75,157,67,18,11,1
2020-03-21,67800,1399,1273,1236,1018,990,935,631,576,764,542,484,499,380,303,318,248,254,168,176,146,133,126,137,134,93,75,76,75,256,135,18,17,1
2020-03-22,67800,1407,1273,1237,1018,990,936,633,577,766,543,484,514,394,307,319,248,254,168,176,146,133,126,137,136,93,75,76,75,317,169,18,21,1
2020-03-23,67800,1413,1274,1238,1018,990,936,633,577,767,543,484,522,404,313,319,248,254,168,176,146,133,127,137,136,93,75,76,75,317,169,18,22,1
2020-03-24,67800,1415,1274,1238,1018,990,936,633,578,768,543,484,537,404,313,319,248,254,168,176,146,134,127,141,136,93,75,76,75,356,195,18,25,1
2020-03-25,67801,1428,1274,1240,1018,990,936,636,578,768,545,484,558,414,318,319,249,254,168,176,146,134,127,145,136,93,77,76,75,386,216,18,26,1
2020-03-26,67801,1433,1274,1241,1018,990,936,638,578,769,547,484,561,433,322,319,250,254,168,178,146,135,127,147,136,95,77,76,75,410,235,18,30,1
2020-03-27,67801,1456,1275,1247,1018,990,936,641,578,771,548,484,569,468,331,319,253,254,168,180,146,135,128,152,136,95,92,76,75,453,252,18,33,1
2020-03-28,67801,1467,1275,1251,1018,990,936,641,578,772,548,484,572,485,337,319,253,254,168,180,146,135,131,160,136,97,94,76,75,518,267,18,35,1
2020-03-29,67801,1475,1276,1254,1018,990,937,644,579,772,550,484,577,492,338,319,253,254,168,180,147,136,134,166,138,98,95,76,75,641,298,18,37,1
2020-03-30,67801,1475,1276,1254,1018,990,937,644,579,772,550,484,577,492,338,319,253,254,168,180,147,136,134,166,138,98,97,76,75,641,298,18,37,1
2020-03-31,67801,1484,1276,1255,1018,990,937,645,579,773,550,484,577,498,340,321,253,254,168,181,147,136,136,174,138,98,107,76,75,682,306,18,38,1
2020-04-01,67801,1494,1276,1257,1018,990,937,646,579,774,550,484,580,509,343,321,253,254,168,182,147,137,139,174,138,98,107,76,75,714,322,18,41,1
2020-04-02,67802,1508,1276,1258,1019,990,937,647,579,775,554,488,582,522,345,325,255,254,168,183,147,137,140,177,138,98,117,76,75,802,339,18,41,1
2020-04-03,67802,1508,1276,1258,1019,990,937,647,579,775,554,488,582,522,345,325,255,254,168,184,147,137,140,177,138,98,117,76,75,802,339,18,41,1
2020-04-04,67802,1514,1276,1260,1019,990,937,651,579,778,555,489,583,526,349,326,255,254,168,184,147,137,141,180,138,98,117,76,75,845,348,18,42,1
2020-04-05,67803,1516,1276,1262,1019,990,937,651,579,778,557,491,585,529,350,326,256,254,168,184,147,138,141,180,138,98,117,76,75,862,355,18,43,1
2020-04-06,67803,1524,1276,1263,1019,990,937,651,579,779,558,504,586,531,350,327,256,254,168,184,147,138,142,180,139,98,117,76,75,890,363,18,44,1
2020-04-07,67803,1532,1276,1264,1019,990,937,651,579,780,559,524,587,536,350,327,256,254,168,184,147,138,142,180,139,98,118,76,75,914,373,18,44,1
2020-04-08,67803,1533,1276,1265,1019,990,937,651,579,781,560,544,587,538,351,327,256,254,168,184,147,163,144,180,139,98,121,76,75,935,376,18,44,1
2020-04-09,67803,1536,1276,1266,1019,990,937,651,579,783,560,569,588,543,351,327,256,254,168,184,147,166,144,181,139,98,124,76,75,960,379,18,45,1
2020-04-10,67803,1539,1276,1267,1019,991,937,651,579,783,560,609,588,552,351,327,256,254,168,184,147,168,144,182,139,98,128,76,75,973,380,18,45,1
2020-04-11,67803,1544,1276,1267,1019,991,937,651,579,783,560,638,588,555,351,327,256,254,168,184,147,172,144,183,139,98,128,76,75,989,382,18,45,1
2020-04-12,67803,1548,1276,1267,1019,991,937,652,579,784,560,661,589,555,351,327,256,254,168,184,147,172,145,183,139,99,155,76,75,1000,385,18,45,1
2020-04-13,67803,1552,1276,1267,1019,991,937,653,579,784,560,684,589,607,352,327,256,254,168,184,147,173,145,184,139,100,189,76,75,1004,388,18,45,1
2020-04-14,67803,1555,1276,1267,1019,991,937,653,579,784,560,740,589,618,352,327,256,254,168,184,147,173,145,184,139,100,190,76,75,1009,393,18,45,1
2020-04-15,67803,1564,1276,1267,1019,991,937,653,579,784,560,819,589,618,353,327,256,254,168,184,147,186,145,185,139,102,190,76,75,1012,393,18,45,1
2020-04-16,67803,1566,1276,1268,1019,991,937,653,579,784,560,841,590,622,353,327,256,254,168,184,147,194,145,185,139,102,190,76,75,1016,395,18,45,1
2020-04-17,67803,1571,1276,1268,1019,991,937,653,579,784,560,861,593,628,353,328,256,254,168,184,147,197,145,186,139,102,193,76,75,1017,395,18,45,1
2020-04-18,68128,1577,1276,1268,1019,991,937,653,579,787,560,872,593,628,354,328,256,254,168,184,147,197,146,189,139,102,193,76,75,1021,395,18,45,1
2020-04-19,68128,1580,1276,1268,1019,991,937,653,579,787,561,898,593,635,355,328,256,254,168,184,147,197,146,189,139,104,193,76,75,1023,420,18,45,1
2020-04-20,68128,1580,1276,1268,1019,991,937,653,579,787,561,898,593,635,355,328,256,254,168,184,147,197,146,189,139,104,193,76,75,1025,420,18,45,1
2020-04-21,68128,1581,1276,1268,1019,991,937,653,579,787,561,905,593,638,355,328,256,254,168,184,147,197,146,189,139,106,194,76,75,1025,422,18,45,1
2020-04-22,68128,1582,1276,1268,1019,991,937,653,579,787,561,913,593,638,355,328,277,254,168,184,147,197,146,189,139,106,194,76,75,1029,425,18,45,1
2020-04-23,68128,1582,1276,1268,1019,991,937,653,579,787,561,921,593,639,355,328,279,254,168,184,147,197,146,189,139,107,194,76,75,1033,426,18,45,1
2020-04-24,68128,1584,1276,1268,1019,991,937,653,579,787,561,925,593,640,355,328,279,254,168,184,147,197,146,189,139,108,194,76,75,1035,427,18,45,1
2020-04-25,68128,1585,1276,1268,1019,991,937,653,579,787,561,928,593,641,355,328,279,254,168,185,147,197,146,190,139,109,194,76,75,1035,428,18,45,1
2020-04-26,68128,1585,1276,1268,1019,991,937,653,579,787,561,930,593,642,355,328,286,254,168,185,147,197,146,190,139,109,197,76,75,1037,429,18,45,1
2020-04-27,68128,1586,1276,1268,1019,991,937,653,579,787,561,935,593,642,355,328,286,254,168,185,147,197,146,190,139,110,198,76,75,1037,429,18,45,1
2020-04-28,68128,1587,1276,1268,1019,991,937,653,579,787,561,936,593,642,355,328,286,254,168,185,147,197,146,190,139,110,198,76,75,1037,429,18,45,1
2020-04-29,68128,1587,1276,1268,1019,991,937,653,579,787,561,939,593,644,355,328,306,254,168,185,147,197,146,190,139,110,199,76,75,1037,429,18,45,1
2020-04-30,68128,1588,1276,1268,1019,991,937,653,579,787,561,939,593,647,355,328,306,254,168,185,147,197,146,190,139,111,199,76,75,1037,429,18,45,1
2020-05-01,68128,1588,1276,1268,1019,991,937,653,579,787,561,939,593,647,355,328,306,254,168,185,147,197,146,190,139,111,201,76,75,1037,429,18,45,1
2020-05-02,68128,1588,1276,1268,1019,991,937,653,579,787,561,944,593,652,356,328,306,254,168,185,147,197,146,190,139,112,201,76,75,1039,429,18,45,1
2020-05-03,68128,1588,1276,1268,1019,991,937,653,579,787,561,944,593,652,356,328,306,254,168,185,147,198,146,190,139,112,201,76,75,1039,432,18,45,1
2020-05-04,68128,1588,1276,1268,1019,991,937,653,579,787,561,944,593,653,356,328,306,254,168,185,147,198,146,190,139,112,201,76,75,1039,432,18,45,1
2020-05-05,68128,1588,1276,1268,1019,991,937,653,579,788,561,944,593,655,356,328,306,254,168,185,147,198,146,190,139,112,201,76,75,1040,438,18,45,1
2020-05-06,68128,1588,1276,1268,1019,991,937,653,579,788,561,944,593,656,356,328,306,254,168,185,147,198,146,190,139,112,201,76,75,1040,438,18,45,1
2020-05-07,68128,1588,1276,1268,1019,991,937,653,579,788,561,944,593,657,356,328,308,254,168,185,147,198,146,190,139,112,201,76,75,1040,439,18,45,1
2020-05-08,68128,1589,1276,1268,1019,991,937,653,579,788,561,944,593,657,356,328,308,254,168,185,147,198,146,190,139,112,201,76,75,1044,440,18,45,1
2020-05-09,68128,1589,1276,1268,1019,991,937,653,579,788,561,944,593,657,356,328,308,254,168,185,147,198,146,191,139,113,201,76,75,1044,440,18,45,1
2020-05-10,68128,1589,1276,1268,1019,991,937,653,579,788,561,944,593,659,356,328,308,254,168,185,147,198,146,191,139,113,201,76,75,1044,440,18,45,1
2020-05-11,68129,1589,1276,1268,1019,991,937,653,579,788,561,945,593,659,356,328,308,254,168,185,147,198,147,191,139,127,208,76,75,1047,440,18,45,1
2020-05-12,68134,1589,1276,1268,1019,991,937,653,579,788,561,945,593,659,356,328,308,254,168,185,147,198,147,191,139,127,208,76,75,1047,440,18,45,1
2020-05-13,68134,1589,1276,1268,1019,991,937,653,579,788,561,945,593,659,356,328,308,254,168,185,147,198,147,191,139,133,209,76,75,1047,440,18,45,1
2020-05-14,68134,1589,1276,1268,1019,991,937,653,579,788,561,945,593,660,356,328,308,254,168,185,147,198,147,191,139,133,209,76,75,1050,440,18,45,1
2020-05-15,68134,1589,1276,1268,1019,991,937,653,579,788,561,945,593,660,356,328,308,254,168,185,147,198,149,191,139,134,209,76,75,1051,440,18,45,1
2020-05-16,68134,1589,1276,1268,1019,991,937,653,579,788,561,945,593,665,356,328,308,254,168,185,147,198,149,191,139,138,209,76,75,1053,440,18,45,1
2020-05-17,68134,1589,1276,1268,1019,991,937,653,579,788,561,945,593,665,356,328,308,254,169,185,147,198,149,192,139,140,209,76,75,1052,440,18,45,1
2020-05-18,68134,1590,1276,1268,1019,991,937,653,579,788,561,945,593,665,356,328,308,254,169,185,147,198,149,192,139,144,213,76,75,1055,440,18,45,1
2020-05-19,68134,1590,1276,1268,1019,991,937,653,579,788,561,945,593,666,356,328,308,254,169,185,147,198,149,192,139,146,213,76,75,1055,440,18,45,1
2020-05-20,68135,1590,1276,1268,1019,991,937,653,579,788,561,945,593,666,356,328,308,254,169,185,147,198,149,192,139,152,216,76,75,1055,440,18,45,1
2020-05-21,68135,1590,1276,1268,1019,991,937,653,579,788,561,945,593,667,356,328,308,254,169,185,147,198,149,192,139,152,217,76,75,1055,440,18,45,1
2020-05-22,68135,1591,1276,1268,1019,991,937,653,579,788,561,945,593,667,356,328,308,254,169,185,147,198,149,192,139,154,217,76,75,1063,441,18,45,1
2020-05-23,68135,1591,1276,1268,1019,991,937,653,579,788,563,945,593,667,356,328,308,254,169,185,147,198,149,192,139,154,217,76,75,1065,441,18,45,1
2020-05-24,68135,1591,1276,1268,1019,991,937,653,579,788,563,945,593,667,356,328,308,254,169,185,147,198,149,192,139,154,217,76,75,1065,441,18,45,1
2020-05-25,68135,1592,1276,1268,1019,991,937,653,579,788,563,945,593,668,356,328,308,254,169,185,147,198,149,192,139,155,217,76,75,1065,441,18,45,1
2020-05-26,68135,1592,1276,1268,1019,991,937,653,579,788,564,945,593,669,356,328,308,254,169,185,147,198,149,192,139,155,232,76,75,1065,441,18,45,1
2020-05-27,68135,1592,1276,1268,1019,991,937,653,579,788,564,945,593,670,357,328,308,254,169,185,147,198,149,192,139,155,232,76,75,1065,441,18,45,1
2020-05-28,68135,1592,1276,1268,1019,991,937,653,579,788,564,945,593,670,357,328,308,254,169,185,147,198,149,192,139,155,232,76,75,1066,441,18,45,1
2020-05-29,68135,1592,1276,1268,1019,991,937,653,579,788,564,945,593,671,358,328,308,254,169,185,147,198,149,192,139,155,232,76,75,1066,441,18,45,1
2020-05-30,68135,1592,1276,1268,1019,991,937,653,579,788,564,945,593,671,358,328,308,254,169,185,147,198,149,192,139,155,232,76,75,1079,442,18,45,1
2020-05-31,68135,1593,1276,1268,1019,991,937,653,579,790,564,945,593,672,358,328,308,254,169,185,147,198,149,192,139,155,232,76,75,1082,442,18,45,1
2020-06-01,68135,1593,1276,1268,1019,991,937,653,579,792,564,945,593,672,358,328,308,254,169,185,147,198,149,192,139,155,235,76,75,1084,442,18,45,1
2020-06-02,68135,1595,1276,1268,1019,991,937,653,579,792,575,945,593,672,358,328,309,254,169,185,147,198,149,192,139,155,235,76,75,1087,443,18,45,1
2020-06-03,68135,1596,1276,1268,1019,991,937,653,579,792,577,945,593,673,358,328,309,254,169,185,147,198,149,192,139,155,235,76,75,1093,443,18,45,1
2020-06-04,68135,1597,1276,1268,1019,991,932,653,579,792,577,947,594,673,358,328,309,254,169,185,147,198,149,192,139,155,235,76,75,1093,443,18,45,1
2020-06-05,68135,1598,1276,1268,1019,991,932,653,579,792,577,947,594,673,358,328,309,254,169,185,147,198,149,192,139,155,235,76,75,1098,443,18,45,1
2020-06-06,68135,1598,1276,1268,1019,991,932,653,579,792,578,947,594,677,358,328,309,254,169,185,147,198,149,192,139,155,235,76,75,1102,443,18,45,1
2020-06-07,68135,1601,1276,1268,1019,991,932,653,579,792,578,947,594,677,358,328,309,254,170,185,147,198,149,193,139,155,235,76,75,1105,443,18,45,1
2020-06-08,68135,1602,1276,1268,1019,991,932,653,579,792,578,947,594,678,359,328,311,254,170,185,147,198,149,193,139,155,235,76,75,1106,443,18,45,1
2020-06-09,68135,1602,1276,1268,1019,991,932,653,579,792,581,947,594,678,359,328,311,254,170,185,147,198,149,193,139,155,235,76,75,1107,443,18,45,1
2020-06-10,68135,1604,1276,1268,1019,991,932,653,579,792,582,947,594,678,359,328,311,254,169,185,147,198,149,193,139,155,235,76,75,1107,443,18,45,1
2020-06-11,68135,1604,1276,1268,1019,991,932,653,579,792,582,947,594,678,359,328,311,254,169,185,147,198,149,195,139,155,237,76,75,1107,443,18,45,1
2020-06-12,68135,1607,1276,1268,1019,991,932,653,579,792,582,947,595,684,360,328,311,254,169,185,147,198,149,195,139,155,237,76,75,1107,443,18,45,1
2020-06-13,68135,1607,1276,1268,1019,991,932,653,579,792,582,947,597,689,361,328,311,254,170,185,147,198,149,196,139,155,237,76,75,1107,443,18,45,1
2020-06-14,68135,1608,1276,1268,1019,991,932,653,579,792,583,947,601,690,361,328,311,254,171,185,147,198,149,196,139,155,237,76,75,1109,443,18,45,1
2020-06-15,68135,1625,1276,1268,1019,991,932,653,582,792,583,947,645,691,361,328,313,254,171,185,147,198,151,196,139,155,237,76,75,1109,443,18,45,1
2020-06-16,68135,1625,1276,1268,1019,991,932,653,582,792,588,947,673,695,362,331,313,254,171,185,147,198,151,196,139,155,238,76,75,1112,445,18,45,1
2020-06-17,68135,1628,1276,1268,1019,991,932,653,582,792,588,947,700,695,362,335,313,254,171,185,147,198,152,196,149,155,238,76,75,1112,445,18,45,1
2020-06-18,68135,1628,1276,1269,1019,991,932,653,582,792,589,947,731,697,362,336,314,254,171,185,147,198,152,197,150,155,238,76,75,1120,445,18,45,1
2020-06-19,68135,1628,1276,1269,1019,991,932,653,582,792,589,947,752,697,362,338,314,254,171,185,147,198,152,197,151,155,238,76,75,1124,446,18,45,1
2020-06-20,68135,1631,1276,1269,1019,991,932,653,582,792,589,947,777,697,362,340,314,254,171,185,147,198,153,197,151,155,238,76,75,1127,446,18,45,1
2020-06-21,68135,1634,1276,1269,1019,991,932,653,582,792,589,947,799,698,362,341,314,254,171,185,147,198,153,197,151,155,238,76,75,1128,446,18,45,1
2020-06-22,68135,1634,1276,1269,1019,991,932,653,582,792,589,947,821,698,363,344,316,254,171,185,147,198,153,197,151,155,238,76,75,1131,446,18,45,1
2020-06-23,68135,1634,1276,1269,1019,991,932,653,582,792,589,947,830,701,363,346,317,254,171,185,147,198,154,198,158,155,238,76,75,1161,446,18,45,1
2020-06-24,68135,1634,1276,1269,1019,991,932,654,582,792,589,947,843,701,363,346,317,254,171,185,147,198,154,198,158,155,238,76,75,1177,446,18,45,1
2020-06-25,68135,1634,1276,1269,1019,991,932,654,582,792,589,947,850,703,363,348,319,254,171,185,147,198,154,198,161,155,238,76,75,1179,446,18,45,1
